dataset,seed,num_points,dimensions,algorithm,eta,covering_number,runtime_seconds
MNIST_Subset,69,5000,784,Greedy,9.55794370401496,64,0.055860124999526306
MNIST_Subset,69,5000,784,Uncovered-First,9.028695000875377,117,0.0052373079997778405
MNIST_Subset,69,5000,784,Farthest-First,9.028695000875377,147,0.0034408060000714613
MNIST_Subset,69,5000,784,Greedy,9.028695000875377,117,0.05770318299983046
MNIST_Subset,69,5000,784,Uncovered-First,8.499446297735794,228,0.00579105500037258
MNIST_Subset,69,5000,784,Farthest-First,8.499446297735794,257,0.00423114200020791
MNIST_Subset,69,5000,784,Greedy,8.499446297735794,202,0.05399165400012862
MNIST_Subset,69,5000,784,Uncovered-First,7.97019759459621,410,0.006894063000800088
MNIST_Subset,69,5000,784,Farthest-First,7.97019759459621,437,0.007045760999972117
MNIST_Subset,69,5000,784,Greedy,7.97019759459621,361,0.0548395289988548
MNIST_Subset,69,5000,784,Uncovered-First,7.440948891456626,674,0.009769076999873505
MNIST_Subset,69,5000,784,Farthest-First,7.440948891456626,720,0.0119065769995359
MNIST_Subset,69,5000,784,Greedy,7.440948891456626,601,0.056950976000734954
MNIST_Subset,69,5000,784,Uncovered-First,6.9117001883170435,1092,0.011048956999729853
MNIST_Subset,69,5000,784,Farthest-First,6.9117001883170435,1145,0.01952150299985078
MNIST_Subset,69,5000,784,Greedy,6.9117001883170435,991,0.060862590000397176
MNIST_Subset,69,5000,784,Uncovered-First,6.3824514851774605,1638,0.015402859999085194
MNIST_Subset,69,5000,784,Farthest-First,6.3824514851774605,1709,0.029326482999749715
MNIST_Subset,69,5000,784,Greedy,6.3824514851774605,1526,0.06447760399896652
MNIST_Subset,69,5000,784,Uncovered-First,5.853202782037877,2294,0.02172633200098062
MNIST_Subset,69,5000,784,Farthest-First,5.853202782037877,2358,0.03615935200105014
MNIST_Subset,69,5000,784,Greedy,5.853202782037877,2172,0.06486785699962638
MNIST_Subset,69,5000,784,Uncovered-First,5.323954078898293,3045,0.025245160999475047
MNIST_Subset,69,5000,784,Farthest-First,5.323954078898293,3081,0.04381193799963512
MNIST_Subset,69,5000,784,Greedy,5.323954078898293,2906,0.0721387550001964
MNIST_Subset,69,5000,784,Uncovered-First,4.79470537575871,3652,0.02925837000111642
MNIST_Subset,69,5000,784,Farthest-First,4.79470537575871,3678,0.052166167999530444
MNIST_Subset,69,5000,784,Greedy,4.79470537575871,3557,0.08026179900116404
MNIST_Subset,69,5000,784,Uncovered-First,4.265456672619127,4137,0.0352659809996112
MNIST_Subset,69,5000,784,Farthest-First,4.265456672619127,4155,0.06067745600012131
MNIST_Subset,69,5000,784,Greedy,4.265456672619127,4067,0.08431930000006105
MNIST_Subset,69,5000,784,Uncovered-First,3.7362079694795436,4429,0.03528080800060707
MNIST_Subset,69,5000,784,Farthest-First,3.7362079694795436,4432,0.06206950100022368
MNIST_Subset,69,5000,784,Greedy,3.7362079694795436,4400,0.08412139199936064
MNIST_Subset,69,5000,784,Uncovered-First,3.20695926633996,4583,0.04065561599963985
MNIST_Subset,69,5000,784,Farthest-First,3.20695926633996,4585,0.06572060899998178
MNIST_Subset,69,5000,784,Greedy,3.20695926633996,4565,0.08384221800042724
MNIST_Subset,69,5000,784,Uncovered-First,2.677710563200377,4691,0.040133647999027744
MNIST_Subset,69,5000,784,Farthest-First,2.677710563200377,4694,0.0699600099997042
MNIST_Subset,69,5000,784,Greedy,2.677710563200377,4668,0.08416518099875248
